IB1,IB2,IB3,IB4,IB5,IH1,IH2,IH3,IH4,lang,education_level,sex,country_origin,country,age,continent
4,6,7,2,7,2,2,2,5,1,Bachelor's degree,Male,120.0,LBN,23.0,Asia
7,7,2,6,6,2,2,2,3,1,Doctoral degree,Female,120.0,LBN,62.0,Asia
6,2,4,7,2,4,2,4,4,1,Bachelor's degree,Female,131.0,MYS,21.0,Asia
3,3,3,1,2,2,6,4,4,1,Bachelor's degree,Female,97.0,CHN,29.0,Asia
2,4,1,2,4,1,2,3,1,1,Bachelor's degree,Female,131.0,MYS,20.0,Asia
6,4,6,2,6,1,1,5,1,1,Bachelor's degree,Female,165.0,MYS,20.0,Asia
5,5,5,2,5,2,6,5,5,1,Doctoral degree,Male,120.0,LBN,,Asia
5,3,3,6,5,6,1,1,6,1,Bachelor's degree,Male,120.0,LBN,24.0,Asia
7,7,7,3,5,4,4,5,5,1,Doctoral degree,Male,120.0,LBN,53.0,Asia
1,6,3,2,2,2,3,4,5,1,High school,Female,131.0,MYS,19.0,Asia
3,2,2,2,3,1,1,2,2,1,Master's degree,Male,120.0,LBN,46.0,Asia
5,2,5,1,2,2,6,6,2,1,Bachelor's degree,Female,32.0,MYS,19.0,Asia
4,3,5,3,3,5,5,5,5,1,Master's degree,I wish not to answer,131.0,MYS,32.0,Asia
2,5,3,3,3,2,3,2,3,1,Bachelor's degree,Female,131.0,MYS,24.0,Asia
5,2,5,6,6,3,2,5,3,1,Bachelor's degree,Female,100.0,IND,23.0,Asia
3,5,6,2,5,3,4,5,3,1,Bachelor's degree,Female,100.0,MYS,21.0,Asia
6,2,5,4,5,2,5,3,6,1,Bachelor's degree,Female,131.0,MYS,20.0,Asia
5,5,2,1,5,3,1,3,2,1,Bachelor's degree,Female,202.0,MYS,24.0,Asia
6,2,2,6,5,2,2,5,5,1,Bachelor's degree,Other,131.0,MYS,26.0,Asia
3,5,1,1,4,1,4,5,1,1,Bachelor's degree,Female,13.0,LBN,20.0,Asia
