IB3,IH1,IB2,IH2,IB1,IH3,IB4,IH4,IB5,confusion,careless_1,careless_2,careless_3,technical_problems,native_language,Q_Lang,religion_text,religion_1,religion_2,religion_3,religion_4,religion_5,religion_6,religion_7,religion_8,religion_9,religion_10,religion_11,religion_12,religion_13,religion_14,religion_15,religion_16,education_leve,education_level_iran,education_level_germ,age_1,sex,countr_origin_1,country3,Age
5,2,6,3,3,5,2,3,3,1,2,2,1,1,1,CS,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,Bachelor's degree,NA,NA,7,Male,1,CZE,24
5,2,5,5,4,3,3,4,4,2,2,2,1,1,1,SK,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,Bachelor's degree,NA,NA,7,Female,1,SVK,24
3,4,6,2,7,5,3,4,2,2,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,High school,NA,NA,3,Female,220,TUR,20
4,1,1,6,6,1,1,1,4,1,2,2,1,1,1,CS,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,High school,NA,NA,6,Male,149,CZE,23
2,1,1,1,1,4,3,1,2,2,2,2,1,1,1,CS,--,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,NA,NA,8,Male,1,CZE,25
4,5,5,6,6,5,7,4,3,2,2,2,1,1,1,CS,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,High school,NA,NA,1,Male,1,CZE,18
6,5,6,3,7,6,1,6,4,3,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,High school,NA,NA,5,Male,220,TUR,22
5,1,7,2,6,5,6,6,7,3,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,Bachelor's degree,NA,NA,5,Female,220,TUR,22
5,5,6,6,6,6,4,5,5,2,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,High school,NA,NA,6,Female,220,TUR,23
3,2,2,4,6,4,2,3,3,2,2,2,1,2,1,CS,--/--/--/--/--,NA,NA,NA,--,--,NA,NA,NA,--,--,NA,NA,NA,NA,--,NA,High school,NA,NA,3,Male,1,CZE,20
2,2,3,2,3,3,5,2,3,1,2,2,1,1,1,CS,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,Bachelor's degree,NA,NA,7,Male,1,CZE,24
3,4,6,5,5,4,2,3,4,2,2,2,1,1,1,TR,--,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High school,NA,NA,3,Female,220,TUR,20
6,4,7,6,6,6,5,5,5,2,2,2,1,1,1,TR,--,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High school,NA,NA,2,Female,220,TUR,19
5,6,7,4,4,6,5,5,6,2,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,High school,NA,NA,2,Female,220,TUR,19
2,2,4,2,6,3,2,2,7,2,2,2,1,1,1,CS,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,Below high school,NA,NA,7,Male,1,CZE,24
5,2,7,3,6,4,4,5,4,2,2,2,1,1,1,CS,--,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,NA,NA,7,Male,1,CZE,24
4,4,5,4,5,6,4,5,5,2,2,2,1,1,1,TR,--,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High school,NA,NA,3,Male,220,TUR,20
2,4,6,4,2,5,3,4,2,2,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,Master's degree,NA,NA,9,Female,220,TUR,26
3,6,7,1,2,2,5,2,1,1,2,2,1,1,1,CS,--,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,NA,NA,7,Male,1,CZE,24
3,4,5,3,3,5,2,5,5,1,2,2,1,1,1,CS,--,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,NA,NA,7,Male,1,CZE,24
3,4,2,2,3,3,2,4,4,1,2,2,1,1,1,CS,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,High school,NA,NA,3,Male,1,CZE,20
2,3,2,4,2,5,5,4,3,1,2,2,1,1,1,CS,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,Master's degree,NA,NA,7,Male,1,CZE,24
1,1,1,7,1,6,1,5,1,2,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,Master's degree,NA,NA,18,Female,220,TUR,35
5,2,6,4,3,6,5,2,7,1,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,High school,NA,NA,2,Male,220,TUR,19
4,4,4,4,4,4,4,4,4,3,2,2,1,NA,NA,FR,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FRA,NA
6,5,6,5,6,6,6,5,7,2,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,High school,NA,NA,2,Male,220,TUR,19
1,3,2,6,1,2,3,3,2,2,2,2,1,1,1,CS,--,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,NA,NA,7,Male,1,CZE,24
4,3,7,5,5,7,1,1,3,3,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,Bachelor's degree,NA,NA,3,Female,220,TUR,20
4,5,1,6,1,7,3,6,1,2,2,2,1,1,1,CS,--,NA,NA,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High school,NA,NA,5,Female,1,CZE,22
6,5,6,2,4,3,6,5,3,1,2,2,1,1,1,CS,--,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,High school,NA,NA,3,Male,1,CZE,20
5,4,6,6,5,1,4,5,5,1,2,2,1,1,1,FR,--,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,NA,NA,8,Female,74,FRA,25
7,1,7,5,7,1,1,1,7,2,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,Master's degree,NA,NA,15,Female,220,TUR,32
5,4,2,1,5,5,6,5,5,1,2,2,1,1,1,FR,--,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,High school,NA,NA,14,Female,74,FRA,31
5,6,6,1,2,1,3,5,5,2,2,2,1,1,1,FR,--,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,NA,NA,38,Female,74,FRA,55
3,1,6,2,7,2,5,2,6,2,2,2,1,1,1,TR,--/--/--,--,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,--,NA,NA,NA,NA,Master's degree,NA,NA,12,Female,220,TUR,29
2,1,2,5,6,3,3,2,6,2,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,Master's degree,NA,NA,11,Female,220,TUR,28
6,2,7,6,4,5,2,2,6,2,2,2,1,1,1,SK,--,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,NA,NA,6,Female,1,SVK,23
3,2,5,2,5,5,2,3,4,1,2,2,1,1,1,CS,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,Bachelor's degree,NA,NA,7,Female,1,CZE,24
1,3,3,2,2,2,1,3,5,2,2,2,1,NA,NA,ES-ARG,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ARG,NA
1,2,3,7,3,2,1,1,7,1,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,High school,NA,NA,3,Female,220,TUR,20
4,5,6,6,2,2,2,4,4,1,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,High school,NA,NA,5,Male,220,TUR,22
5,2,2,5,6,4,2,3,4,1,2,2,1,1,1,CS,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,Bachelor's degree,NA,NA,7,Male,1,CZE,24
6,2,6,7,6,1,6,7,7,3,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,Bachelor's degree,NA,NA,23,Female,220,TUR,40
1,6,7,7,7,7,4,4,7,3,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,High school,NA,NA,2,Female,220,TUR,19
6,1,7,6,7,5,6,1,5,1,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,Master's degree,NA,NA,15,Male,220,TUR,32
6,1,6,6,6,4,5,1,6,2,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,High school,NA,NA,2,Male,220,TUR,19
7,5,7,1,7,1,7,7,6,3,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,NA,NA,Bachelor's degree,NA,NA,14,Female,220,TUR,31
2,1,6,7,4,2,4,1,6,1,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,High school,NA,NA,3,Female,220,TUR,20
5,1,7,6,7,6,3,1,7,3,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,Master's degree,NA,NA,13,Male,220,TUR,30
3,3,6,2,4,5,2,5,5,2,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,High school,NA,NA,4,Female,220,TUR,21
6,2,6,5,6,5,4,2,6,2,2,2,1,2,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,Master's degree,NA,NA,18,Male,220,TUR,35
4,1,3,6,7,4,1,2,2,2,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,Master's degree,NA,NA,11,Male,220,TUR,28
5,4,5,5,7,2,7,4,6,1,2,1,1,1,1,CS,--,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,High school,NA,NA,7,Male,1,CZE,24
6,5,6,2,5,2,7,6,5,1,2,2,1,1,1,CS,--,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Below high school,NA,NA,2,Female,1,CZE,19
2,1,2,6,2,1,1,2,5,2,2,2,1,1,1,TR,--,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High school,NA,NA,3,Male,220,TUR,20
2,6,3,5,6,5,2,4,5,1,2,2,1,1,1,FR,--,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,NA,NA,4,Female,93,FRA,21
5,5,4,2,6,5,6,5,5,1,2,2,1,1,1,CS,--,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High school,NA,NA,3,Male,1,CZE,20
4,4,7,6,7,4,3,4,7,1,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,Bachelor's degree,NA,NA,11,Female,220,TUR,28
2,1,6,2,5,5,5,4,6,1,2,2,1,1,1,TR,--/--,--,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High school,NA,NA,3,Female,220,TUR,20
3,1,5,3,7,3,4,3,6,2,2,2,1,1,1,ES-EC,--,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral degree,NA,NA,4,Female,60,ECU,21
4,2,2,1,4,5,6,3,7,2,2,2,1,1,1,ES-EC,--,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,NA,NA,6,Female,60,ECU,23
6,2,2,1,2,7,6,4,1,2,2,2,1,1,1,ES-EC,--,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,NA,NA,7,Male,60,ECU,24
5,2,7,4,6,5,2,5,5,2,2,2,1,2,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,High school,NA,NA,6,Male,220,TUR,23
4,1,1,1,6,1,4,1,4,1,2,2,1,1,1,ES-EC,--,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,NA,NA,9,Female,60,ECU,26
4,5,6,2,6,5,6,5,3,2,2,2,1,1,1,COL-ESP,--,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,NA,NA,12,Male,47,COL,29
1,1,1,7,4,1,4,1,1,2,2,2,1,NA,NA,FR,--,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FRA,NA
4,1,3,1,7,1,1,1,2,1,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,Master's degree,NA,NA,8,Male,220,TUR,25
4,1,3,2,5,2,1,2,2,1,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,Master's degree,NA,NA,8,Female,220,TUR,25
5,1,7,7,7,5,6,1,3,3,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,Bachelor's degree,NA,NA,16,Male,220,TUR,33
7,7,6,7,7,6,7,6,6,1,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,High school,NA,NA,2,Female,220,TUR,19
6,5,7,3,2,5,3,4,6,2,2,2,1,1,1,TR,--,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High school,NA,NA,3,Female,220,TUR,20
2,1,2,1,7,1,1,1,2,1,2,2,1,NA,NA,ES-ARG,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ARG,NA
4,4,4,4,4,4,4,4,4,1,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,High school,NA,NA,5,Male,220,TUR,22
6,3,7,5,6,5,5,3,5,1,2,2,1,1,NA,ES-ARG,--,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,NA,NA,6,Female,12,ARG,23
1,4,1,3,1,3,1,5,4,1,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,High school,NA,NA,5,Male,220,TUR,22
5,7,7,7,1,1,6,6,7,2,2,2,1,1,1,ES-EC,--,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,NA,NA,3,Female,60,ECU,20
7,1,7,5,7,1,3,1,4,1,2,2,1,NA,NA,ES-ARG,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ARG,NA
4,3,5,3,6,4,4,3,7,2,2,2,1,1,1,ES-EC,--,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,NA,NA,3,Female,60,ECU,20
5,1,5,1,5,5,5,3,3,1,2,2,1,1,1,CS,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,High school,NA,NA,3,Male,1,CZE,20
5,2,5,5,3,4,6,2,5,1,2,2,1,1,1,CS,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,NA,NA,8,Male,1,CZE,25
3,3,6,5,7,3,4,5,5,2,2,2,1,1,1,TR,--,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,NA,NA,10,Female,220,TUR,27
6,4,6,3,3,2,4,3,6,2,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,High school,NA,NA,3,Female,220,TUR,20
6,6,6,5,7,5,7,7,6,1,2,2,1,1,1,CS,--,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,NA,NA,4,Female,1,CZE,21
6,4,5,4,5,7,7,5,4,2,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,High school,NA,NA,2,Female,180,TUR,19
5,5,7,5,6,5,6,5,3,2,2,2,1,1,1,CS,--,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High school,NA,NA,2,Male,1,CZE,19
5,4,5,5,5,3,3,5,4,2,2,2,1,1,1,SK,--,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,NA,NA,6,Female,1,SVK,23
5,5,6,5,6,3,2,4,6,3,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,Bachelor's degree,NA,NA,4,Female,220,TUR,21
3,2,6,6,3,2,4,2,3,1,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,High school,NA,NA,3,Female,220,TUR,20
4,2,7,5,6,5,1,2,7,2,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,High school,NA,NA,3,Female,220,TUR,20
5,4,3,5,2,3,6,5,2,1,2,2,1,1,1,CS,--,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,High school,NA,NA,6,Female,1,CZE,23
5,5,6,4,6,4,3,5,5,2,2,2,1,1,1,TR,--/--,NA,--,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,NA,NA,High school,NA,NA,3,Female,220,TUR,20
4,2,4,1,6,4,4,4,4,1,2,2,1,1,1,TR,--,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High school,NA,NA,2,Male,220,TUR,19
2,3,2,5,2,5,1,1,4,2,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,High school,NA,NA,4,Female,220,TUR,21
4,3,3,3,5,5,4,4,5,1,2,2,1,1,1,SK,--,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,NA,NA,5,Female,1,SVK,22
7,5,6,5,7,1,2,2,1,2,2,2,1,1,1,TR,--,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High school,NA,NA,4,Female,220,TUR,21
4,3,6,2,5,5,5,4,5,2,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,High school,NA,NA,4,Female,220,TUR,21
3,1,6,6,7,5,3,2,2,2,2,2,1,1,1,TR,--,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High school,NA,NA,2,Female,220,TUR,19
2,1,5,1,7,1,2,1,6,2,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,Bachelor's degree,NA,NA,22,Female,220,TUR,39
4,1,6,1,7,6,4,6,7,2,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,NA,NA,High school,NA,NA,4,Female,220,TUR,21
4,1,6,1,7,1,1,3,3,1,2,2,1,1,1,FR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,Bachelor's degree,NA,NA,23,Female,3,FRA,40
4,2,6,5,6,5,3,3,6,2,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,Bachelor's degree,NA,NA,4,Female,220,TUR,21
2,2,5,1,5,5,1,2,1,1,2,2,1,1,1,CS,--,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High school,NA,NA,1,Male,1,CZE,18
5,3,7,2,3,1,5,4,4,1,2,2,1,1,1,CS,--/--/--,NA,NA,NA,NA,NA,--,--,NA,NA,NA,--,NA,NA,NA,NA,NA,Master's degree,NA,NA,9,Male,1,CZE,26
6,4,6,5,6,4,6,5,7,2,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,High school,NA,NA,13,Female,220,TUR,30
4,3,4,2,5,4,4,4,4,3,2,2,1,1,1,CS,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,Bachelor's degree,NA,NA,8,Male,1,CZE,25
2,2,1,3,2,5,1,4,1,2,2,2,1,1,1,CS,--/--,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,Below high school,NA,NA,1,Male,1,CZE,18
2,1,2,6,4,3,2,2,3,1,2,2,1,1,1,CS,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,High school,NA,NA,8,Male,1,CZE,25
2,4,6,5,4,7,7,5,2,2,2,2,1,1,1,CS,--,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,NA,NA,9,Male,1,CZE,26
3,3,3,2,2,3,5,3,2,1,2,2,1,1,1,CS,--,NA,NA,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High school,NA,NA,7,Male,1,CZE,24
5,2,6,2,7,5,7,4,5,1,2,2,1,1,1,CS,--,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High school,NA,NA,8,Male,1,CZE,25
3,2,6,2,6,6,2,5,4,1,2,2,1,1,1,CS,--,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High school,NA,NA,4,Male,1,CZE,21
2,5,4,3,3,3,6,6,5,2,2,2,1,1,1,CS,--,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,NA,NA,8,Male,1,CZE,25
3,3,5,5,5,5,2,5,4,1,2,2,1,1,1,CS,--,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,NA,NA,8,Female,1,CZE,25
2,2,3,6,2,6,5,3,7,1,2,2,1,1,1,CS,--,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,NA,NA,8,Male,1,CZE,25
6,5,7,2,4,6,5,5,6,1,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,High school,NA,NA,4,Female,220,TUR,21
4,2,6,4,2,4,2,4,6,1,2,2,1,1,1,SK,--,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High school,NA,NA,2,Female,1,SVK,19
7,2,7,6,7,2,2,2,2,2,2,2,1,NA,NA,ES-ARG,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ARG,NA
3,5,3,1,2,5,2,3,3,1,2,2,1,1,1,CS,--,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,NA,NA,8,Male,1,CZE,25
3,3,3,3,3,3,3,3,3,1,2,2,1,1,1,TR,--,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High school,NA,NA,5,Female,220,TUR,22
5,4,7,4,7,5,1,1,5,1,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,High school,NA,NA,5,Female,220,TUR,22
3,4,3,4,5,4,3,3,3,2,2,2,1,1,1,CS,--,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,NA,NA,9,Male,1,CZE,26
3,1,4,1,5,5,4,5,5,2,2,2,1,1,1,CS,--,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High school,NA,NA,2,Male,1,CZE,19
3,1,5,1,5,4,4,1,7,3,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,NA,NA,Bachelor's degree,NA,NA,3,Female,220,TUR,20
5,4,4,1,7,3,5,2,5,1,2,2,1,1,1,CS,--,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,NA,NA,8,Male,1,CZE,25
2,5,2,2,5,5,3,5,3,1,2,2,1,1,1,CS,--,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's degree,NA,NA,8,Female,1,CZE,25
2,1,6,5,7,1,1,1,3,2,2,2,1,1,1,TR,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,NA,NA,NA,NA,High school,NA,NA,4,Female,220,TUR,21
2,2,3,6,3,3,3,3,2,1,2,2,1,1,1,CS,--,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High school,NA,NA,9,Male,1,CZE,26
3,5,5,2,3,4,5,5,6,2,2,2,1,1,1,CHI,--,NA,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bachelor's degree,NA,NA,10,Male,43,CHL,27
